id_season,tm,game_date,time_start,extdom,opponent,w_l,overtime,pts_tm,pts_opp,w_tot,l_tot,streak_w_l
2001,ATL,2000-10-31,7:30p,,Charlotte Hornets,L,,82,106,0,1,L 1
2001,ATL,2000-11-02,7:30p,@,New York Knicks,L,,69,94,0,2,L 2
2001,ATL,2000-11-04,7:30p,,Orlando Magic,L,,104,107,0,3,L 3
2001,ATL,2000-11-06,10:00p,@,Vancouver Grizzlies,L,,87,97,0,4,L 4
2001,ATL,2000-11-07,10:00p,@,Portland Trail Blazers,L,,88,97,0,5,L 5
2001,ATL,2000-11-09,9:00p,@,Phoenix Suns,L,,79,88,0,6,L 6
2001,ATL,2000-11-10,10:30p,@,Los Angeles Clippers,L,,106,115,0,7,L 7
2001,ATL,2000-11-14,7:30p,,Portland Trail Blazers,W,,99,97,1,7,W 1
2001,ATL,2000-11-15,8:00p,@,Milwaukee Bucks,L,,74,84,1,8,L 1
2001,ATL,2000-11-17,7:30p,@,Boston Celtics,L,,99,106,1,9,L 2
2001,ATL,2000-11-18,7:30p,,Minnesota Timberwolves,L,,84,94,1,10,L 3
2001,ATL,2000-11-22,7:30p,,New York Knicks,W,,78,74,2,10,W 1
2001,ATL,2000-11-24,7:30p,,Philadelphia 76ers,L,,67,76,2,11,L 1
2001,ATL,2000-11-25,7:30p,@,Orlando Magic,L,,92,114,2,12,L 2
2001,ATL,2000-11-28,7:00p,@,Washington Wizards,W,,102,75,3,12,W 1
2001,ATL,2000-11-30,7:30p,,Chicago Bulls,L,,82,91,3,13,L 1
2001,ATL,2000-12-02,2:30p,,Milwaukee Bucks,W,,101,94,4,13,W 1
2001,ATL,2000-12-05,7:30p,,Miami Heat,L,,92,100,4,14,L 1
2001,ATL,2000-12-08,7:30p,@,Miami Heat,L,,76,80,4,15,L 2
2001,ATL,2000-12-09,7:30p,@,Cleveland Cavaliers,L,,90,97,4,16,L 3
2001,ATL,2000-12-12,8:00p,,Sacramento Kings,W,,107,99,5,16,W 1
2001,ATL,2000-12-13,7:30p,@,Detroit Pistons,L,,69,92,5,17,L 1
2001,ATL,2000-12-15,8:30p,@,Chicago Bulls,W,,85,74,6,17,W 1
2001,ATL,2000-12-16,7:30p,,New Jersey Nets,L,,83,89,6,18,L 1
2001,ATL,2000-12-19,7:30p,,New York Knicks,W,,87,77,7,18,W 1
2001,ATL,2000-12-22,7:00p,@,Toronto Raptors,W,,78,72,8,18,W 2
2001,ATL,2000-12-23,7:30p,,Indiana Pacers,W,,91,87,9,18,W 3
2001,ATL,2000-12-26,7:30p,@,New Jersey Nets,W,,81,76,10,18,W 4
2001,ATL,2000-12-28,8:00p,@,Minnesota Timberwolves,L,,81,88,10,19,L 1
2001,ATL,2000-12-29,7:30p,,Cleveland Cavaliers,L,,85,97,10,20,L 2
2001,ATL,2001-01-02,7:30p,,Boston Celtics,W,,92,81,11,20,W 1
2001,ATL,2001-01-03,7:00p,@,Philadelphia 76ers,L,,80,98,11,21,L 1
2001,ATL,2001-01-06,7:30p,,Orlando Magic,W,,83,82,12,21,W 1
2001,ATL,2001-01-09,7:30p,,Seattle SuperSonics,L,,86,95,12,22,L 1
2001,ATL,2001-01-11,7:30p,,Golden State Warriors,W,,107,96,13,22,W 1
2001,ATL,2001-01-13,8:00p,,Los Angeles Clippers,W,,108,88,14,22,W 2
2001,ATL,2001-01-15,2:30p,,New Jersey Nets,L,,78,84,14,23,L 1
2001,ATL,2001-01-18,7:00p,@,Indiana Pacers,L,,76,84,14,24,L 2
2001,ATL,2001-01-21,1:00p,@,Washington Wizards,L,,90,94,14,25,L 3
2001,ATL,2001-01-23,7:00p,@,Boston Celtics,L,,82,83,14,26,L 4
2001,ATL,2001-01-26,7:30p,,Washington Wizards,L,,99,106,14,27,L 5
2001,ATL,2001-01-27,8:00p,@,Cleveland Cavaliers,W,,101,90,15,27,W 1
2001,ATL,2001-01-29,7:30p,,Phoenix Suns,L,,82,95,15,28,L 1
2001,ATL,2001-01-31,7:30p,,Toronto Raptors,W,,102,97,16,28,W 1
2001,ATL,2001-02-02,7:30p,,Miami Heat,L,,80,91,16,29,L 1
2001,ATL,2001-02-03,7:30p,@,Orlando Magic,L,,84,96,16,30,L 2
2001,ATL,2001-02-05,7:30p,,Dallas Mavericks,L,,81,91,16,31,L 3
2001,ATL,2001-02-06,7:30p,@,New Jersey Nets,L,,84,90,16,32,L 4
2001,ATL,2001-02-08,7:30p,@,Charlotte Hornets,L,,84,101,16,33,L 5
2001,ATL,2001-02-13,8:30p,@,Chicago Bulls,L,,92,96,16,34,L 6
2001,ATL,2001-02-14,7:30p,,Milwaukee Bucks,L,,98,102,16,35,L 7
2001,ATL,2001-02-17,10:00p,@,Seattle SuperSonics,W,,101,94,17,35,W 1
2001,ATL,2001-02-18,9:00p,@,Golden State Warriors,W,,98,91,18,35,W 2
2001,ATL,2001-02-20,10:30p,@,Sacramento Kings,L,,80,94,18,36,L 1
2001,ATL,2001-02-23,10:30p,@,Los Angeles Lakers,L,,106,113,18,37,L 2
2001,ATL,2001-02-24,9:00p,@,Denver Nuggets,L,,82,85,18,38,L 3
2001,ATL,2001-02-26,9:00p,@,Utah Jazz,L,,82,99,18,39,L 4
2001,ATL,2001-02-28,7:30p,,Toronto Raptors,L,,88,95,18,40,L 5
2001,ATL,2001-03-02,7:30p,,Charlotte Hornets,L,,99,105,18,41,L 6
2001,ATL,2001-03-03,8:30p,@,San Antonio Spurs,L,,95,124,18,42,L 7
2001,ATL,2001-03-05,7:30p,,Utah Jazz,L,,102,109,18,43,L 8
2001,ATL,2001-03-07,7:30p,,Houston Rockets,L,,98,104,18,44,L 9
2001,ATL,2001-03-09,7:00p,@,Philadelphia 76ers,L,,103,108,18,45,L 10
2001,ATL,2001-03-10,7:30p,,Chicago Bulls,W,,93,90,19,45,W 1
2001,ATL,2001-03-13,7:30p,,Vancouver Grizzlies,W,,109,99,20,45,W 2
2001,ATL,2001-03-16,7:00p,@,Indiana Pacers,L,,97,103,20,46,L 1
2001,ATL,2001-03-17,7:30p,,Detroit Pistons,L,,90,106,20,47,L 2
2001,ATL,2001-03-19,7:30p,,Los Angeles Lakers,W,,108,106,21,47,W 1
2001,ATL,2001-03-22,7:30p,,San Antonio Spurs,L,,101,115,21,48,L 1
2001,ATL,2001-03-23,7:00p,@,Toronto Raptors,L,,86,112,21,49,L 2
2001,ATL,2001-03-25,2:30p,@,Milwaukee Bucks,L,,98,105,21,50,L 3
